"employee_id","employee","shifts_per_week","total_oncall_duration"
421789192,"Jonathan Cooper","5","39:00:00"
906640259,"Emmett Morgan","5","39:00:00"
945269429,"Logan Foster","5","38:00:00"
750828093,"Gael Murphy","5","38:00:00"
433898251,"Henry Foster","5","38:00:00"
247566159,"Greyson Harris","5","37:00:00"
204396542,"Jayden Evans","5","37:00:00"
210426187,"Liam Potter","5","37:00:00"
532875000,"Lucas Wood","5","37:00:00"
770764244,"Ezekiel Chavez","5","37:00:00"
746554496,"Ryan Ortiz","5","36:00:00"
862715122,"Leonardo Ortiz","5","36:00:00"
746525788,"Aiden Reed","5","36:00:00"
575202281,"Isaiah Miller","5","36:00:00"
889817663,"Josiah Reyes","5","36:00:00"
642792655,"Nolan Williams","5","36:00:00"
885187991,"Leo Roberts","5","36:00:00"
740483815,"Bennett Martinez","5","36:00:00"
592143935,"Luca Foster","5","36:00:00"
763450438,"Malik Cross","5","36:00:00"
557962602,"Angel Campbell","5","36:00:00"
827817563,"Joshua Price","5","36:00:00"
546398868,"Aiden Robinson","5","36:00:00"
899456219,"Christopher Martinez","5","36:00:00"
990502285,"Lincoln Jones","5","36:00:00"
916820962,"Jace Garcia","5","36:00:00"
957341648,"Oliver Ortiz","5","36:00:00"
918655867,"Eli Diaz","5","36:00:00"
908436965,"Adam Hamilton","5","36:00:00"
940682680,"John Sutton","5","36:00:00"
220707297,"Jordan Ramirez","5","36:00:00"
101616996,"Kai Phillips","5","36:00:00"
256481677,"Liam Fischer","5","36:00:00"
102505011,"Micah Murphy","5","36:00:00"
319188129,"Julian Gonzalez","5","36:00:00"
406694104,"Silas Martinez","5","36:00:00"
293058559,"Aiden Ramos","5","36:00:00"
146996536,"Eli King","5","36:00:00"
113003234,"Benjamin Gonzalez","5","36:00:00"
348815857,"Ryan Martin","5","35:00:00"
114826250,"Omar Bailey","5","35:00:00"
385298194,"Thomas Patel","5","35:00:00"
108314613,"Ryan Morgan","5","35:00:00"
334881530,"Isaiah Collins","5","35:00:00"
363090463,"John Carter","5","35:00:00"
310356115,"Wesley Thompson","5","35:00:00"
462170900,"Hudson Nguyen","5","35:00:00"
397311926,"Jack Nelson","5","35:00:00"
264317917,"Luca Allen","5","35:00:00"
410049886,"Gael Fischer","5","35:00:00"
306947607,"Alexander Jackson","5","35:00:00"
167863827,"Jacob Holmes","5","35:00:00"
200938966,"Emmett Keller","5","35:00:00"
146245588,"Jonathan Davis","5","35:00:00"
329075240,"Connor Chavez","5","35:00:00"
323969418,"Ezra Scott","5","35:00:00"
287618888,"Rafael Hill","5","35:00:00"
311115333,"Gael Cohen","5","35:00:00"
475465803,"Anthony Schultz","5","35:00:00"
376358418,"Grayson Perez","5","35:00:00"
390899823,"Max Sutton","5","35:00:00"
220013364,"Aaron Chavez","5","35:00:00"
431757026,"Jackson Baldwin","5","35:00:00"
298763790,"Asher Sanders","5","35:00:00"
597889964,"Hector Fischer","5","35:00:00"
823237280,"Hudson Lewis","5","35:00:00"
631176973,"Waylon Brown","5","35:00:00"
821634369,"Rowan Cox","5","35:00:00"
806886832,"Damian Peterson","5","35:00:00"
636363598,"Austin Young","5","35:00:00"
534407950,"Julian Murphy","5","35:00:00"
858790417,"Victor Bailey","5","35:00:00"
679492109,"Emmett Flores","5","35:00:00"
628395531,"Colton Douglas","5","35:00:00"
707462367,"Zane Campbell","5","35:00:00"
602673574,"Wesley Brooks","5","35:00:00"
967624020,"Greyson Nguyen","5","35:00:00"
962555790,"Easton Adams","5","35:00:00"
945740646,"Connor Murphy","5","35:00:00"
951602791,"Orion Peterson","5","35:00:00"
943293623,"Alexander Potter","5","35:00:00"
960310837,"Angel Nolan","5","34:00:00"
894159089,"Luca Ortiz","5","34:00:00"
976369187,"Levi Ortiz","5","34:00:00"
999799987,"Jose Gonzalez","5","34:00:00"
998611721,"Matthew Green","5","34:00:00"
899696284,"Austin Edwards","5","34:00:00"
892173596,"Benjamin Ray","5","34:00:00"
935775190,"Parker Cruz","5","34:00:00"
901414749,"John Robinson","5","34:00:00"
928163536,"Jayden Ortiz","5","34:00:00"
377039241,"Tristan Brown","5","34:00:00"
473281325,"Jeremiah Jackson","5","34:00:00"
397736986,"Cooper Rivera","5","34:00:00"
159650173,"Leo Brooks","5","34:00:00"
206929659,"Isaac Reed","5","34:00:00"
498352517,"Lucas Riley","5","34:00:00"
355936046,"Xavier Ramos","5","34:00:00"
376647627,"Gabriel Hamilton","5","34:00:00"
246255237,"Shane Lopez","5","34:00:00"
295953073,"Ian Jimenez","5","34:00:00"
414809255,"John Long","5","34:00:00"
451115810,"Silas Wright","5","34:00:00"
183040771,"Lincoln Gomez","5","34:00:00"
305437067,"Miles Keller","5","34:00:00"
309864364,"Robert Spencer","5","34:00:00"
467219817,"Jace Ward","5","34:00:00"
281751180,"Tristan Ward","5","34:00:00"
269070608,"Gabriel Taylor","5","34:00:00"
398612373,"Julian Moore","5","34:00:00"
444021092,"Declan Powell","5","34:00:00"
278935613,"Hector Lee","5","34:00:00"
297873234,"Lincoln Weber","5","34:00:00"
216552545,"Robert Cooper","5","34:00:00"
225487172,"Oliver Ross","5","34:00:00"
229724863,"Mason Spencer","5","34:00:00"
248723109,"Micah Moore","5","34:00:00"
352026901,"Victor Young","5","34:00:00"
395438757,"Jameson Wilson","5","34:00:00"
187143745,"Mateo Castillo","5","34:00:00"
193228827,"James Rogers","5","34:00:00"
457995531,"Alexander Stewart","5","34:00:00"
398877998,"Kody Hill","5","34:00:00"
496623922,"David Foster","5","34:00:00"
462016740,"Aiden Foster","5","34:00:00"
412020811,"Leo King","5","34:00:00"
333504072,"Jonathan Douglas","5","34:00:00"
491659245,"Hunter Wood","5","34:00:00"
150211065,"Luca Martin","5","34:00:00"
261217809,"Joshua Harris","5","34:00:00"
481682398,"Damian Cruz","5","34:00:00"
240017417,"Ethan Wilson","5","34:00:00"
391834651,"Gabriel Young","5","34:00:00"
769890453,"Cameron Rogers","5","34:00:00"
727030452,"Benjamin Nelson","5","34:00:00"
750864569,"Mason Ross","5","34:00:00"
741832382,"Declan Ruiz","5","34:00:00"
878325388,"Maverick Cook","5","34:00:00"
685386146,"Beau Torres","5","34:00:00"
651735504,"Kody Garcia","5","34:00:00"
861877578,"Rowan Cooper","5","34:00:00"
541986075,"Jonathan Carter","5","34:00:00"
672549325,"Beau Gutierrez","5","34:00:00"
651697186,"Christopher Chavez","5","34:00:00"
